card_number,gender,Name,Surname,Age,Birthday,City,card_num
178301,M,Соломон,Устинов,53,1971-03-18,Gomel,14294
178302,M,Доброслав,Гордеев,36,1987-12-25,Lida,107512
178303,F,Анастасия,Ершова,38,1986-02-12,Brest,109542
178304,F,Ульяна,Игнатьева,44,1980-02-12,Orsha,133862
178305,F,Октябрина,Зуева,45,1979-01-28,Orsha,140677
178306,M,Давыд,Дьячков,50,1973-10-11,Lida,142954
178307,M,Никифор,Лихачев,40,1983-07-22,Minsk,143523
178308,M,Порфирий,Новиков,43,1980-09-24,Orsha,333397
178309,M,Любосмысл,Петухов,50,1973-11-16,Minsk,329007
178310,M,Фортунат,Петров,51,1972-07-20,Minsk,328306
178311,M,Георгий,Гущин,48,1975-08-31,Orsha,334445
178312,F,Елизавета,Егорова,46,1977-12-29,Grodno,337141
178313,F,Василиса,Лобанова,39,1984-09-27,Minsk,341069
178314,M,Лука,Воробьев,43,1980-07-13,Lida,347025
178315,M,Ефрем,Ермаков,48,1976-04-07,Mogilev,368666
178316,M,Панкратий,Носов,55,1968-11-02,Minsk,456810
178317,M,Василий,Максимов,33,1991-01-28,Orsha,515233
178318,M,Борис,Аксенов,38,1985-11-13,Orsha,517858
178319,M,Панкрат,Яковлев,49,1975-01-21,Brest,521025
178320,F,Мария,Лапина,38,1985-05-07,Mogilev,510283
178321,M,Пахом,Стрелков,37,1987-01-31,Mogilev,520522
178322,F,Алевтина,Ширяева,37,1986-09-20,Brest,547319
178323,M,Епифан,Уваров,41,1983-04-10,Lida,572952
178324,M,Лавр,Захаров,44,1979-12-28,Mogilev,572069
178325,M,Касьян,Дьячков,35,1989-01-09,Lida,568927
178326,M,Вячеслав,Миронов,54,1969-09-09,Gomel,572929
178327,M,Мечислав,Кудрявцев,35,1988-12-08,Grodno,622393
178328,F,Олимпиада,Иванова,60,1963-10-19,Orsha,664916
178329,F,Таисия,Павлова,43,1980-06-16,Lida,666020
178330,F,Кира,Полякова,46,1977-11-08,Brest,674394
178331,F,Акулина,Лукина,34,1989-07-17,Mogilev,677645
178332,F,Евфросиния,Савельева,56,1968-03-05,Lida,685481
178333,M,Ферапонт,Ермаков,62,1961-10-06,Minsk,685507
178334,M,Михей,Суворов,51,1973-03-27,Minsk,672250
178335,M,Карл,Белов,52,1971-04-20,Minsk,686604
178336,M,Никита,Рожков,43,1980-07-02,Mogilev,687891
178337,M,Мирон,Федоров,50,1973-08-16,Gomel,678247
178338,M,Николай,Лебедев,55,1969-02-16,Brest,700300
178339,M,Исай,Шубин,47,1976-07-26,Minsk,924211
178340,M,Сила,Жданов,40,1984-02-07,Gomel,925044
178341,F,Алла,Коновалова,41,1982-11-28,Gomel,997357
178342,F,Екатерина,Лобанова,55,1968-07-13,Grodno,994644
178343,M,Мефодий,Молчанов,39,1984-04-29,Lida,993646
178344,M,Климент,Захаров,52,1971-06-24,Minsk,999676
178345,F,Октябрина,Потапова,47,1977-04-17,Gomel,1394943
178346,M,Андрей,Сафонов,53,1971-04-07,Mogilev,1846686
178347,F,Ирина,Мухина,49,1974-05-14,Lida,3931775
178348,M,Зосима,Овчинников,50,1973-08-06,Brest,5430032
178349,M,Давыд,Харитонов,51,1972-06-17,Orsha,7813235
178350,M,Иван,Марков,35,1988-06-20,Brest,10109912
178351,M,Христофор,Данилов,57,1967-03-21,Brest,8554713
178352,F,Лариса,Ермакова,33,1991-03-01,Lida,23098415
178353,M,Карл,Родионов,59,1964-10-02,Brest,24329892
178354,F,Мария,Соколова,45,1979-04-05,Minsk,22463198
178355,M,Митофан,Антонов,31,1992-06-22,Mogilev,28363137
178356,F,Оксана,Брагина,48,1975-08-12,Grodno,28840324
178357,F,Лукия,Жданова,46,1977-07-28,Gomel,31478559
178358,M,Елисей,Беспалов,48,1975-08-29,Minsk,32940128
178359,M,Мир,Семенов,37,1987-03-02,Orsha,35031240
178360,M,Вадим,Анисимов,49,1974-05-28,Grodno,41233531
178361,M,Валентин,Соловьев,38,1985-07-20,Lida,49659695
178362,M,Валерий,Комаров,54,1970-02-04,Mogilev,50206529
178363,M,Руслан,Казаков,52,1972-01-17,Orsha,52260787
178364,M,Пров,Воронцов,55,1969-01-02,Lida,54465806
178365,F,Нина,Юдина,44,1979-10-03,Lida,56888062
178366,M,Дементий,Самсонов,73,1951-01-25,Lida,57566824
178367,F,Марфа,Дроздова,37,1987-03-30,Minsk,59448559
178368,M,Геннадий,Зуев,22,2001-09-28,Lida,66094222
178369,M,Фортунат,Коновалов,50,1974-01-12,Grodno,67962153
178370,F,Евгения,Никифорова,46,1977-10-02,Minsk,76665136
178371,M,Феликс,Анисимов,43,1980-04-28,Orsha,84794878
178372,M,Евсей,Николаев,53,1970-10-01,Orsha,84821895
178373,F,София,Доронина,42,1981-11-05,Minsk,85320194
178374,F,Октябрина,Белоусова,42,1981-10-31,Brest,85723843
178375,M,Савва,Некрасов,47,1976-11-26,Mogilev,95154898
178376,M,Мартьян,Мясников,48,1975-09-16,Gomel,94846676
178377,M,Чеслав,Ситников,44,1979-10-29,Minsk,104606336
178378,M,Дементий,Осипов,31,1992-09-13,Minsk,108813225
178379,F,Тамара,Анисимова,43,1980-07-28,Grodno,110044686
178380,M,Адам,Фомин,60,1963-11-20,Orsha,109292775
178381,F,Лукия,Ефремова,29,1995-02-14,Grodno,110429309
178382,F,Анна,Мельникова,50,1974-01-04,Minsk,116819073
178383,F,Агафья,Крылова,51,1972-12-30,Gomel,114377670
178384,M,Леонтий,Александров,51,1972-11-09,Mogilev,119385957
178385,M,Эраст,Быков,41,1982-09-23,Gomel,122740810
178386,M,Флорентин,Абрамов,44,1980-04-07,Mogilev,122645678
178387,M,Лаврентий,Беспалов,50,1973-05-23,Grodno,129757237
178388,M,Пантелеймон,Суворов,42,1982-03-20,Mogilev,126377781
178389,M,Захар,Уваров,53,1970-06-10,Mogilev,131804052
178390,M,Симон,Колобов,64,1959-09-14,Lida,133769178
178391,M,Афиноген,Кузьмин,38,1985-09-07,Minsk,138574755
178392,M,Вацлав,Пономарев,44,1979-05-16,Mogilev,140944434
178393,F,Тамара,Тетерина,41,1982-12-07,Minsk,141003273
178394,M,Максим,Архипов,52,1971-09-06,Brest,142026024
178395,M,Радислав,Комиссаров,41,1982-05-13,Mogilev,141663975
178396,F,Лидия,Владимирова,59,1964-09-24,Orsha,147020000
178397,F,Таисия,Хохлова,43,1980-04-25,Lida,154031425
178398,M,Радим,Бобров,55,1968-04-21,Minsk,152158352
178399,M,Зосима,Чернов,45,1978-05-21,Orsha,151543695
178400,M,Аггей,Наумов,43,1980-09-06,Minsk,156224119
178401,F,Ия,Борисова,43,1980-08-17,Lida,159375835
178402,M,Август,Павлов,31,1992-11-29,Brest,168730731
178403,M,Бажен,Евдокимов,51,1973-03-29,Mogilev,169499963
178404,M,Рюрик,Рогов,45,1978-11-30,Grodno,176350761
178405,M,Адам,Сергеев,37,1986-08-10,Lida,180453213
178406,F,Регина,Мамонтова,43,1981-02-07,Minsk,188221200
178407,F,Надежда,Фадеева,38,1985-05-21,Minsk,184351546
178408,F,Людмила,Воронова,53,1971-03-19,Lida,185017229
178409,M,Иннокентий,Никифоров,41,1982-10-26,Brest,194431684
178410,M,Эрнест,Устинов,35,1988-07-21,Minsk,195894591
178411,F,Ираида,Михеева,47,1976-10-26,Minsk,188744506
178412,M,Творимир,Михайлов,29,1994-06-21,Minsk,192592958
178413,M,Амос,Русаков,40,1983-05-23,Gomel,198180972
178414,F,Агафья,Фомичева,49,1974-05-05,Gomel,202052803
178415,M,Агап,Горбачев,48,1975-04-25,Lida,197392073
178416,F,Глафира,Волкова,51,1972-09-08,Brest,198686400
178417,F,Пелагея,Лапина,45,1979-01-31,Minsk,204768778
178418,M,Святополк,Михайлов,39,1984-09-27,Brest,207748991
178419,M,Тимур,Максимов,48,1975-08-27,Mogilev,203680487
178420,F,Фёкла,Мухина,50,1974-01-26,Mogilev,205525740
178421,M,Алексей,Яковлев,59,1964-10-06,Grodno,211023043
178422,F,Пелагея,Ковалева,45,1978-12-20,Minsk,206980355
178423,M,Вацлав,Григорьев,48,1975-06-28,Lida,206214193
178424,M,Онуфрий,Кудряшов,37,1987-01-16,Orsha,209682552
178425,M,Осип,Дроздов,49,1974-07-24,Mogilev,209797731
178426,M,Ян,Тарасов,41,1983-01-13,Brest,218237646
178427,F,Пелагея,Лапина,39,1985-02-07,Lida,217525801
178428,M,Лавр,Веселов,48,1975-11-12,Brest,227175571
178429,M,Владлен,Фролов,53,1970-12-08,Minsk,228241257
178430,M,Эрнст,Брагин,56,1967-06-25,Grodno,220698447
178431,M,Фирс,Потапов,43,1980-10-02,Grodno,229372762
178432,M,Вышеслав,Громов,42,1981-05-29,Brest,231619085
178433,F,Майя,Белозерова,55,1968-09-18,Grodno,231820420
178434,M,Аристарх,Рожков,53,1970-10-04,Mogilev,242907877
178435,M,Остромир,Романов,47,1976-09-28,Brest,245491091
178436,M,Савва,Фролов,37,1987-03-14,Mogilev,244778241
178437,M,Терентий,Панфилов,53,1971-03-19,Gomel,250892431
178438,M,Лука,Игнатьев,39,1984-04-21,Mogilev,256031513
178439,M,Аггей,Кузнецов,43,1980-07-03,Mogilev,266573389
178440,M,Любосмысл,Дьячков,43,1980-09-15,Mogilev,270068707
178441,M,Федот,Воробьев,36,1987-12-03,Gomel,265015374
178442,M,Никон,Соколов,63,1960-12-27,Grodno,276794447
178443,M,Влас,Жуков,39,1984-10-14,Mogilev,275797763
178444,F,Евпраксия,Никитина,50,1973-08-22,Orsha,285682708
178445,M,Твердислав,Игнатьев,49,1974-06-19,Mogilev,283257578
178446,M,Епифан,Белов,43,1980-05-22,Lida,286905142
178447,M,Эрнст,Рожков,45,1979-04-16,Gomel,297657367
178448,M,Демьян,Молчанов,37,1987-03-14,Orsha,297585253
178449,M,Викторин,Архипов,56,1967-06-24,Brest,302914944
178450,M,Илья,Коновалов,38,1986-02-19,Orsha,308050693
178451,M,Зиновий,Александров,40,1983-08-24,Lida,318780495
178452,F,Екатерина,Турова,46,1977-05-05,Gomel,336111822
178453,M,Велимир,Буров,48,1976-01-13,Orsha,343462739
178454,M,Никон,Афанасьев,36,1987-09-17,Lida,348932017
178455,M,Мокей,Миронов,48,1976-01-23,Mogilev,342375710
178456,F,Евфросиния,Мишина,41,1982-10-30,Grodno,346170503
178457,M,Бажен,Хохлов,55,1968-12-26,Grodno,346027885
178458,M,Юлий,Мамонтов,48,1975-07-08,Brest,350959676
178459,M,Всемил,Капустин,48,1976-03-12,Lida,356734834
178460,M,Ананий,Горбунов,52,1972-04-01,Gomel,350897132
178461,M,Нестор,Федотов,51,1972-09-01,Lida,352511244
178462,M,Филимон,Степанов,51,1973-01-12,Gomel,354538773
178463,F,Иванна,Елисеева,47,1977-03-14,Lida,362752143
178464,F,Екатерина,Шарапова,53,1970-06-27,Lida,353381746
178465,M,Валентин,Лапин,42,1981-10-25,Gomel,358131237
178466,M,Герман,Суханов,47,1976-06-22,Brest,366110991
178467,F,Маргарита,Кузьмина,44,1979-05-17,Brest,363469549
178468,M,Дорофей,Гаврилов,38,1986-03-31,Brest,367237421
178469,M,Савва,Дмитриев,41,1983-01-26,Orsha,367489303
178470,M,Петр,Фадеев,45,1978-06-07,Orsha,382454920
178471,M,Любомир,Меркушев,46,1977-09-08,Grodno,383113861
178472,M,Мокей,Исаев,46,1977-11-02,Minsk,391442948
178473,F,Алина,Фадеева,42,1982-04-15,Mogilev,387519683
178474,F,Тамара,Константинова,53,1971-02-25,Grodno,389267638
178475,F,Анжела,Громова,40,1983-07-27,Gomel,391205289
178476,M,Клавдий,Панфилов,46,1978-04-06,Minsk,391604754
178477,M,Прохор,Лебедев,51,1972-09-29,Minsk,395871225
178478,M,Модест,Федосеев,52,1971-10-24,Lida,413278197
178479,M,Аристарх,Воронов,47,1976-08-23,Grodno,407067994
178480,M,Юлий,Бобылев,44,1979-05-17,Mogilev,420906998
178481,M,Дорофей,Кириллов,51,1972-07-22,Grodno,416248205
178482,M,Константин,Ермаков,52,1972-01-30,Minsk,423584610
178483,M,Аристарх,Лукин,56,1967-07-13,Brest,420956488
178484,F,Акулина,Бурова,51,1972-06-05,Orsha,424769689
